sens_g0,sens_gX,util_g0,util_gX,edges_modified,seed,budget_pct,g0_method,lr,T_s,T_u,dataset,ptb_rate,location,method,g0_size
0.2578125,0.7510094212651414,0.609375,0.7366532077164648,622.0,123,0.25,random,10,-1,1263,Cora,0.5,./results3.csv,SLL,0.1
0.416,0.7473118279569892,0.6608,0.7215053763440861,611.0,123,0.25,random,10,-1,1263,Cora,0.5,./results3.csv,SLL,0.25
0.5912828947368421,0.7698975571315997,0.7606907894736842,0.7289204097714737,611.0,123,0.25,random,10,-1,1263,Cora,0.5,./results3.csv,SLL,0.5
0.6470908102229472,0.7863777089783281,0.6840674279499728,0.6609907120743034,647.0,123,0.25,random,10,-1,1263,Cora,0.5,./results3.csv,SLL,0.75
0.54296875,0.8295199641094662,0.625,0.699416778824585,594.0,123,0.25,random,10,-1,1263,Cora,0.5,./results3.csv,SLL_G,0.1
0.7504,0.8155913978494623,0.6656,0.6956989247311828,594.0,123,0.25,random,10,-1,1263,Cora,0.5,./results3.csv,SLL_G,0.25
0.7598684210526315,0.793538219070134,0.649671052631579,0.6690307328605201,371.0,123,0.25,random,10,-1,1263,Cora,0.5,./results3.csv,SLL_G,0.5
0.7292006525285482,0.7507739938080495,0.6443719412724307,0.6764705882352942,310.0,123,0.25,random,10,-1,1263,Cora,0.5,./results3.csv,SLL_G,0.75
0.140625,0.807088380439659,0.625,0.693135935397039,0.0,123,0.25,random,10,-1,1263,Cora,0.5,./results3.csv,CER,0.1
0.1312,0.7774193548387097,0.616,0.6978494623655914,0.0,123,0.25,random,10,-1,1263,Cora,0.5,./results3.csv,CER,0.25
0.3026315789473684,0.6958234830575256,0.618421052631579,0.6414499605988968,0.0,123,0.25,random,10,-1,1263,Cora,0.5,./results3.csv,CER,0.5
0.28276237085372485,0.5185758513931888,0.6275149537792278,0.6331269349845201,0.0,123,0.25,random,10,-1,1263,Cora,0.5,./results3.csv,CER,0.75
0.37109375,0.8322117541498429,0.58203125,0.6998654104979811,616.0,123,0.25,random,100,-1,1263,Cora,0.5,./results3.csv,SLL_G,0.1
0.6256,0.8172043010752689,0.68,0.693010752688172,649.0,123,0.25,random,100,-1,1263,Cora,0.5,./results3.csv,SLL_G,0.25
0.7088815789473685,0.7832939322301025,0.6504934210526315,0.6698187549251379,620.0,123,0.25,random,100,-1,1263,Cora,0.5,./results3.csv,SLL_G,0.5
0.7112561174551386,0.7554179566563467,0.6470908102229472,0.6904024767801857,595.0,123,0.25,random,100,-1,1263,Cora,0.5,./results3.csv,SLL_G,0.75
0.5078125,0.8299685957828623,0.640625,0.7110812023328847,619.0,123,0.25,random,500,-1,1263,Cora,0.5,./results3.csv,SLL_G,0.1
0.6208,0.8166666666666667,0.6672,0.693010752688172,652.0,123,0.25,random,500,-1,1263,Cora,0.5,./results3.csv,SLL_G,0.25
0.6800986842105263,0.7864460204885737,0.6529605263157895,0.6808510638297872,618.0,123,0.25,random,500,-1,1263,Cora,0.5,./results3.csv,SLL_G,0.5
0.6884176182707994,0.7569659442724458,0.6454594888526373,0.6904024767801857,670.0,123,0.25,random,500,-1,1263,Cora,0.5,./results3.csv,SLL_G,0.75
0.5181818181818182,0.574687903572966,0.5781818181818181,0.6162290142057684,1351.0,123,0.25,random,100,-1,17,BlogCatalog,0.5,./results3.csv,SLL_G,0.1
0.5726047904191617,0.5795336787564767,0.6010479041916168,0.5992227979274611,1281.0,123,0.25,random,100,-1,17,BlogCatalog,0.5,./results3.csv,SLL_G,0.25
0.5724721261053441,0.5892100192678227,0.5882352941176471,0.5930635838150289,1274.0,123,0.25,random,100,-1,17,BlogCatalog,0.5,./results3.csv,SLL_G,0.5
0.5110824742268041,0.5258358662613982,0.6007731958762886,0.6329787234042553,1277.0,123,0.25,random,100,-1,17,BlogCatalog,0.5,./results3.csv,SLL_G,0.75
0.4036363636363636,0.5501506672406371,0.6090909090909091,0.6300043047783039,1294.0,123,0.25,random,10,-1,17,BlogCatalog,0.5,./results3.csv,SLL,0.1
0.5666167664670658,0.5919689119170984,0.6414670658682635,0.6344559585492228,1278.0,123,0.25,random,10,-1,17,BlogCatalog,0.5,./results3.csv,SLL,0.25
0.538638985005767,0.5606936416184971,0.631680123029604,0.6277456647398844,1325.0,123,0.25,random,10,-1,17,BlogCatalog,0.5,./results3.csv,SLL,0.5
0.5198453608247423,0.5296352583586627,0.6244845360824742,0.6367781155015197,1328.0,123,0.25,random,10,-1,17,BlogCatalog,0.5,./results3.csv,SLL,0.75
0.15272727272727274,0.6033146792940164,0.6,0.5927679724494188,0.0,123,0.25,random,10,-1,17,BlogCatalog,0.5,./results3.csv,CER,0.1
0.15419161676646706,0.589119170984456,0.6197604790419161,0.6272020725388601,0.0,123,0.25,random,10,-1,17,BlogCatalog,0.5,./results3.csv,CER,0.25
0.15647827758554403,0.5915221579961464,0.6262975778546713,0.6470134874759152,0.0,123,0.25,random,10,-1,17,BlogCatalog,0.5,./results3.csv,CER,0.5
0.16675257731958762,0.5531914893617021,0.6244845360824742,0.3738601823708207,0.0,123,0.25,random,10,-1,17,BlogCatalog,0.5,./results3.csv,CER,0.75
0.2706185567010309,0.25621414913957935,0.9896907216494846,0.9907339314605089,1866.0,123,0.25,random,10,-1,1,Flickr,0.5,./results3.csv,SLL,0.1
0.27082268778742974,0.2579209683161267,0.9913132345426674,0.9903880384478462,1887.0,123,0.25,random,10,-1,1,Flickr,0.5,./results3.csv,SLL,0.25
0.298456709390531,0.298773987206823,0.9921527596128695,0.9890724946695096,1913.0,123,0.25,random,10,-1,1,Flickr,0.5,./results3.csv,SLL,0.5
0.30070546737213405,0.30971128608923887,0.990652557319224,0.9905511811023622,1879.0,123,0.25,random,10,-1,1,Flickr,0.5,./results3.csv,SLL,0.75
0.2654639175257732,0.2573907927636417,0.9896907216494846,0.9907339314605089,1862.0,123,0.25,random,50,-1,1,Flickr,0.5,./results3.csv,SLL_G,0.1
0.2672457843638222,0.266998932004272,0.9913132345426674,0.9903880384478462,1895.0,123,0.25,random,50,-1,1,Flickr,0.5,./results3.csv,SLL_G,0.25
0.29767198535181794,0.30303837953091683,0.9921527596128695,0.9890724946695096,1884.0,123,0.25,random,50,-1,1,Flickr,0.5,./results3.csv,SLL_G,0.5
0.2689594356261023,0.2845144356955381,0.9902998236331569,0.9900262467191601,1857.0,123,0.25,random,50,-1,1,Flickr,0.5,./results3.csv,SLL_G,0.75
0.11469072164948453,0.2731284012354758,0.9896907216494846,0.9907339314605089,0.0,123,0.25,random,50,-1,1,Flickr,0.5,./results3.csv,CER,0.1
0.11599386816555952,0.30010679957280173,0.9913132345426674,0.9903880384478462,0.0,123,0.25,random,50,-1,1,Flickr,0.5,./results3.csv,CER,0.25
0.11901647920481298,0.2806503198294243,0.9921527596128695,0.9890724946695096,0.0,123,0.25,random,50,-1,1,Flickr,0.5,./results3.csv,CER,0.5
0.11657848324514991,0.24986876640419947,0.990652557319224,0.9905511811023622,0.0,123,0.25,random,50,-1,1,Flickr,0.5,./results3.csv,CER,0.75
0.7936507936507936,0.9525547445255474,1.0,0.9990875912408759,302.0,123,0.25,random,10,-1,1,Polblogs,0.5,./results3.csv,SLL,0.1
0.8603896103896104,0.9518599562363238,1.0,0.9989059080962801,306.0,123,0.25,random,10,-1,1,Polblogs,0.5,./results3.csv,SLL,0.25
0.8850574712643678,0.9608482871125612,1.0,0.99836867862969,308.0,123,0.25,random,10,-1,1,Polblogs,0.5,./results3.csv,SLL,0.5
0.9050772626931567,0.9778481012658228,0.9988962472406181,1.0,288.0,123,0.25,random,10,-1,1,Polblogs,0.5,./results3.csv,SLL,0.75
0.7301587301587301,0.9388686131386861,1.0,0.9990875912408759,332.0,123,0.25,random,100,-1,1,Polblogs,0.5,./results3.csv,SLL_G,0.1
